Source,Target,Weight,Type
Anonimo_1,Anonimo_2,171,undirected
Anonimo_1,Cañete_odasyotrascomposiciones 19.39.53,24,undirected
Anonimo_1,Cañete_romancesyepistolas 19.39.45,27,undirected
Anonimo_1,Cañete_todoslossonetos ,66,undirected
Anonimo_1,Capitan_prensa,24,undirected
Anonimo_1,Capitan_sonetos,17,undirected
Anonimo_1,Forner_romance 19.41.23 19.41.33,76,undirected
Anonimo_1,Forner_silvayepistola 19.41.39,38,undirected
Anonimo_1,Forner_sonetosyotros,30,undirected
Anonimo_1,Lista_epigrameidilios,31,undirected
Anonimo_1,Lista_romances,29,undirected
Anonimo_1,Lista_todoslossonetos,25,undirected
Anonimo_1,MelendezValdes_odas ,13,undirected
Anonimo_1,MelendezValdes_romances,11,undirected
Anonimo_1,MelendezValdes_sonetos ,34,undirected
Anonimo_1,Reinoso_odas,14,undirected
Anonimo_1,Reinoso_romanceyotras,13,undirected
Anonimo_1,Zapata_odas ,11,undirected
Anonimo_1,Zapata_todoslossonetos 19.41.09,16,undirected
Anonimo_2,Anonimo_1,171,undirected
Anonimo_2,Cañete_odasyotrascomposiciones 19.39.53,58,undirected
Anonimo_2,Cañete_romancesyepistolas 19.39.45,65,undirected
Anonimo_2,Cañete_todoslossonetos ,95,undirected
Anonimo_2,Capitan_prensa,62,undirected
Anonimo_2,Capitan_sonetos,55,undirected
Anonimo_2,Forner_romance 19.41.23 19.41.33,125,undirected
Anonimo_2,Forner_silvayepistola 19.41.39,72,undirected
Anonimo_2,Forner_sonetosyotros,86,undirected
Anonimo_2,Lista_epigrameidilios,66,undirected
Anonimo_2,Lista_romances,63,undirected
Anonimo_2,Lista_todoslossonetos,62,undirected
Anonimo_2,MelendezValdes_odas ,58,undirected
Anonimo_2,MelendezValdes_romances,54,undirected
Anonimo_2,MelendezValdes_sonetos ,66,undirected
Anonimo_2,Reinoso_odas,52,undirected
Anonimo_2,Reinoso_romanceyotras,55,undirected
Anonimo_2,Zapata_odas ,54,undirected
Anonimo_2,Zapata_todoslossonetos 19.41.09,55,undirected
Cañete_odasyotrascomposiciones 19.39.53,Anonimo_1,24,undirected
Cañete_odasyotrascomposiciones 19.39.53,Anonimo_2,58,undirected
Cañete_odasyotrascomposiciones 19.39.53,Cañete_romancesyepistolas 19.39.45,52,undirected
Cañete_odasyotrascomposiciones 19.39.53,Cañete_todoslossonetos ,59,undirected
Cañete_odasyotrascomposiciones 19.39.53,Capitan_prensa,12,undirected
Cañete_odasyotrascomposiciones 19.39.53,Capitan_sonetos,46,undirected
Cañete_odasyotrascomposiciones 19.39.53,Lista_epigrameidilios,11,undirected
Cañete_odasyotrascomposiciones 19.39.53,MelendezValdes_odas ,1,undirected
Cañete_odasyotrascomposiciones 19.39.53,MelendezValdes_sonetos ,2,undirected
Cañete_odasyotrascomposiciones 19.39.53,Reinoso_odas,24,undirected
Cañete_odasyotrascomposiciones 19.39.53,Zapata_odas ,52,undirected
Cañete_odasyotrascomposiciones 19.39.53,Zapata_todoslossonetos 19.41.09,9,undirected
Cañete_romancesyepistolas 19.39.45,Anonimo_1,27,undirected
Cañete_romancesyepistolas 19.39.45,Anonimo_2,65,undirected
Cañete_romancesyepistolas 19.39.45,Cañete_odasyotrascomposiciones 19.39.53,52,undirected
Cañete_romancesyepistolas 19.39.45,Cañete_todoslossonetos ,21,undirected
Cañete_romancesyepistolas 19.39.45,Capitan_prensa,1,undirected
Cañete_romancesyepistolas 19.39.45,Capitan_sonetos,4,undirected
Cañete_romancesyepistolas 19.39.45,Forner_romance 19.41.23 19.41.33,9,undirected
