Source,Target,Weight,Type
Anonimo_1,Anonimo_2,167,undirected
Anonimo_1,Cañete_romancesyepistolas 19.39.45,6,undirected
Anonimo_1,Cañete_todoslossonetos ,38,undirected
Anonimo_1,Capitan_prensa,3,undirected
Anonimo_1,Capitan_sonetos,13,undirected
Anonimo_1,Forner_romance 19.41.23 19.41.33,65,undirected
Anonimo_1,Forner_silvayepistola 19.41.39,23,undirected
Anonimo_1,Forner_sonetosyotros,9,undirected
Anonimo_1,Lista_epigrameidilios,11,undirected
Anonimo_1,Lista_romances,8,undirected
Anonimo_1,Lista_todoslossonetos,2,undirected
Anonimo_1,MelendezValdes_sonetos ,16,undirected
Anonimo_1,Reinoso_romanceyotras,2,undirected
Anonimo_2,Anonimo_1,167,undirected
Anonimo_2,Cañete_odasyotrascomposiciones 19.39.53,34,undirected
Anonimo_2,Cañete_romancesyepistolas 19.39.45,48,undirected
Anonimo_2,Cañete_todoslossonetos ,68,undirected
Anonimo_2,Capitan_prensa,39,undirected
Anonimo_2,Capitan_sonetos,32,undirected
Anonimo_2,Forner_romance 19.41.23 19.41.33,113,undirected
Anonimo_2,Forner_silvayepistola 19.41.39,53,undirected
Anonimo_2,Forner_sonetosyotros,84,undirected
Anonimo_2,Lista_epigrameidilios,49,undirected
Anonimo_2,Lista_romances,45,undirected
Anonimo_2,Lista_todoslossonetos,39,undirected
Anonimo_2,MelendezValdes_odas ,32,undirected
Anonimo_2,MelendezValdes_romances,27,undirected
Anonimo_2,MelendezValdes_sonetos ,48,undirected
Anonimo_2,Reinoso_odas,23,undirected
Anonimo_2,Reinoso_romanceyotras,30,undirected
Anonimo_2,Zapata_odas ,26,undirected
Anonimo_2,Zapata_todoslossonetos 19.41.09,29,undirected
Cañete_odasyotrascomposiciones 19.39.53,Anonimo_2,34,undirected
Cañete_odasyotrascomposiciones 19.39.53,Cañete_romancesyepistolas 19.39.45,90,undirected
Cañete_odasyotrascomposiciones 19.39.53,Cañete_todoslossonetos ,63,undirected
Cañete_odasyotrascomposiciones 19.39.53,Capitan_prensa,17,undirected
Cañete_odasyotrascomposiciones 19.39.53,Capitan_sonetos,72,undirected
Cañete_odasyotrascomposiciones 19.39.53,Lista_epigrameidilios,28,undirected
Cañete_odasyotrascomposiciones 19.39.53,Reinoso_odas,40,undirected
Cañete_odasyotrascomposiciones 19.39.53,Zapata_odas ,90,undirected
Cañete_odasyotrascomposiciones 19.39.53,Zapata_todoslossonetos 19.41.09,19,undirected
Cañete_romancesyepistolas 19.39.45,Anonimo_1,6,undirected
Cañete_romancesyepistolas 19.39.45,Anonimo_2,48,undirected
Cañete_romancesyepistolas 19.39.45,Cañete_odasyotrascomposiciones 19.39.53,90,undirected
Cañete_romancesyepistolas 19.39.45,Cañete_todoslossonetos ,23,undirected
Cañete_romancesyepistolas 19.39.45,Capitan_prensa,1,undirected
Cañete_romancesyepistolas 19.39.45,Capitan_sonetos,4,undirected
Cañete_romancesyepistolas 19.39.45,Forner_romance 19.41.23 19.41.33,13,undirected
Cañete_romancesyepistolas 19.39.45,Forner_silvayepistola 19.41.39,2,undirected
Cañete_romancesyepistolas 19.39.45,MelendezValdes_romances,14,undirected
Cañete_romancesyepistolas 19.39.45,Zapata_odas ,17,undirected
Cañete_todoslossonetos ,Anonimo_1,38,undirected
Cañete_todoslossonetos ,Anonimo_2,68,undirected
Cañete_todoslossonetos ,Cañete_odasyotrascomposiciones 19.39.53,63,undirected
Cañete_todoslossonetos ,Cañete_romancesyepistolas 19.39.45,23,undirected
Cañete_todoslossonetos ,Forner_sonetosyotros,6,undirected
Cañete_todoslossonetos ,Lista_epigrameidilios,5,undirected
Cañete_todoslossonetos ,Reinoso_odas,1,undirected
Capitan_prensa,Anonimo_1,3,undirected
Capitan_prensa,Anonimo_2,39,undirected
Capitan_prensa,Cañete_odasyotrascomposiciones 19.39.53,17,undirected
Capitan_prensa,Cañete_romancesyepistolas 19.39.45,1,undirected
Capitan_prensa,Capitan_sonetos,163,undirected
Capitan_prensa,Forner_romance 19.41.23 19.41.33,1,undirected
Capitan_prensa,MelendezValdes_odas ,30,undirected
Capitan_prensa,MelendezValdes_romances,1,undirected
Capitan_prensa,Zapata_odas ,43,undirected
Capitan_sonetos,Anonimo_1,13,undirected
Capitan_sonetos,Anonimo_2,32,undirected
Capitan_sonetos,Cañete_odasyotrascomposiciones 19.39.53,72,undirected
Capitan_sonetos,Cañete_romancesyepistolas 19.39.45,4,undirected
Capitan_sonetos,Capitan_prensa,163,undirected
Capitan_sonetos,Forner_romance 19.41.23 19.41.33,54,undirected
Capitan_sonetos,Forner_silvayepistola 19.41.39,6,undirected
Capitan_sonetos,Forner_sonetosyotros,29,undirected
Capitan_sonetos,Lista_epigrameidilios,7,undirected
Capitan_sonetos,Lista_romances,2,undirected
Capitan_sonetos,Lista_todoslossonetos,1,undirected
Capitan_sonetos,MelendezValdes_odas ,16,undirected
Capitan_sonetos,MelendezValdes_romances,3,undirected
